title,avg_rating,rating_count,bias_score,is_underserved
"Misérables, Les (1998)",3.71,3457,-0.12,0
Still Breathing (1997),3.15,202,-0.35,0
Clockwatchers (1997),3.35,1114,-0.3,0
Deep Impact (1998),2.97,15302,-0.61,0
Little Men (1998),2.71,59,-0.52,0
Woo (1998),2.07,173,-0.75,0
"Hanging Garden, The (1997)",3.46,268,-0.2,0
Lawn Dogs (1997),3.61,380,-0.1,0
Quest for Camelot (1998),2.89,882,-0.58,0
Godzilla (1998),2.4,10683,-0.82,0
Bulworth (1998),3.33,5659,-0.35,0
Fear and Loathing in Las Vegas (1998),3.76,13640,-0.12,0
"Opposite of Sex, The (1998)",3.61,4629,-0.17,0
I Got the Hook Up (1998),2.23,103,-0.71,0
Almost Heroes (1998),2.64,704,-0.67,0
Hope Floats (1998),2.98,3566,-0.58,0
Insomnia (1997),3.57,1946,-0.17,0
Little Boy Blue (1997),2.85,78,-0.48,0
"Ugly, The (1997)",2.51,123,-0.62,0
"Perfect Murder, A (1998)",3.38,5491,-0.32,0
Beyond Silence (Jenseits der Stille) (1996),3.65,221,-0.06,0
Six Days Seven Nights (1998),2.88,6644,-0.63,0
Can't Hardly Wait (1998),3.2,4035,-0.42,0
Cousin Bette (1998),3.1,300,-0.39,0
High Art (1998),3.54,1159,-0.16,0
"Land Girls, The (1998)",3.22,133,-0.29,0
Passion in the Desert (1998),2.97,103,-0.45,0
"Children of Heaven, The (Bacheha-Ye Aseman) (1997)",4.0,1082,-0.03,0
Dear Jesse (1997),3.21,76,-0.26,0
Dream for an Insomniac (1996),3.25,305,-0.32,0
Hav Plenty (1997),2.89,70,-0.46,0
Henry Fool (1997),3.54,1025,-0.16,0
Marie from the Bay of Angels (Marie Baie Des Anges) (1997),2.66,50,-0.52,0
Mr. Jealousy (1997),3.13,285,-0.37,0
Mulan (1998),3.75,15736,-0.12,0
Resurrection Man (1998),2.72,60,-0.52,0
"X-Files: Fight the Future, The (1998)",3.33,15088,-0.36,0
I Went Down (1997),3.42,322,-0.22,0
Dr. Dolittle (1998),2.66,9445,-0.72,0
Out of Sight (1998),3.65,9125,-0.16,0
Picnic at Hanging Rock (1975),3.74,2183,-0.11,0
Smoke Signals (1998),3.8,2923,-0.08,0
Voyage to the Beginning of the World (Viagem ao Princípio do Mundo) (1997),2.8,46,-0.46,0
Buffalo '66 (a.k.a. Buffalo 66) (1998),3.66,3783,-0.15,0
Armageddon (1998),3.01,29264,-0.52,0
Lethal Weapon 4 (1998),3.14,11683,-0.47,0
Madeline (1998),3.1,1062,-0.44,0
Small Soldiers (1998),2.84,5111,-0.64,0
Pi (1998),3.73,12042,-0.13,0
Whatever (1998),3.26,241,-0.29,0
There's Something About Mary (1998),3.52,31185,-0.22,0
Plan 9 from Outer Space (1959),2.6,2622,-0.72,0
Wings (1927),3.69,418,-0.07,0
"Broadway Melody, The (1929)",3.05,222,-0.4,0
All Quiet on the Western Front (1930),3.93,3102,-0.06,0
Cimarron (1931),3.0,194,-0.48,0
Grand Hotel (1932),3.69,869,-0.09,0
Cavalcade (1933),2.86,100,-0.49,0
Mutiny on the Bounty (1935),3.89,2104,-0.06,0
"Great Ziegfeld, The (1936)",3.32,339,-0.28,0
"Life of Emile Zola, The (1937)",3.44,247,-0.2,0
You Can't Take It with You (1938),3.9,1077,-0.04,0
How Green Was My Valley (1941),3.81,1099,-0.06,0
Mrs. Miniver (1942),3.76,850,-0.06,0
Going My Way (1944),3.55,625,-0.14,0
"Lost Weekend, The (1945)",3.84,1409,-0.06,0
"Best Years of Our Lives, The (1946)",4.08,2276,-0.01,0
Gentleman's Agreement (1947),3.74,802,-0.08,0
Hamlet (1948),3.74,954,-0.08,0
All the King's Men (1949),3.89,1044,-0.04,0
"Greatest Show on Earth, The (1952)",3.18,599,-0.38,0
From Here to Eternity (1953),3.92,3296,-0.06,0
On the Waterfront (1954),4.11,7326,-0.02,0
Marty (1955),3.9,1534,-0.05,0
West Side Story (1961),3.71,10874,-0.14,0
Tom Jones (1963),3.74,1444,-0.09,0
"Man for All Seasons, A (1966)",4.1,2465,-0.01,0
In the Heat of the Night (1967),4.03,4325,-0.02,0
Oliver! (1968),3.64,2674,-0.15,0
Midnight Cowboy (1969),3.96,8129,-0.07,0
"French Connection, The (1971)",3.91,10940,-0.08,0
Rocky (1976),3.74,21300,-0.14,0
Kramer vs. Kramer (1979),3.73,6379,-0.13,0
Ordinary People (1980),3.88,4995,-0.07,0
Chariots of Fire (1981),3.69,8262,-0.14,0
Terms of Endearment (1983),3.63,5956,-0.16,0
Out of Africa (1985),3.63,6278,-0.16,0
"Last Emperor, The (1987)",3.83,8630,-0.1,0
Rain Man (1988),3.91,36557,-0.09,0
Driving Miss Daisy (1989),3.67,10789,-0.15,0
Take the Money and Run (1969),3.9,2658,-0.06,0
Klute (1971),3.76,2626,-0.09,0
Repo Man (1984),3.57,7376,-0.19,0
Metropolitan (1990),3.79,1890,-0.08,0
Labyrinth (1986),3.64,11369,-0.17,0
"Breakfast Club, The (1985)",3.83,32168,-0.11,0
"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)",2.5,2874,-0.73,0
"Nightmare on Elm Street 3: Dream Warriors, A (1987)",2.82,3289,-0.64,0
"Nightmare on Elm Street 4: The Dream Master, A (1988)",2.48,2210,-0.78,0
"Nightmare on Elm Street 5: The Dream Child, A (1989)",2.28,1780,-0.81,0
"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)",2.34,1719,-0.79,0
Friday the 13th (1980),2.92,5483,-0.61,0
Friday the 13th Part 2 (1981),2.55,2221,-0.72,0
Friday the 13th Part 3: 3D (1982),2.26,1758,-0.81,0
Friday the 13th Part IV: The Final Chapter (1984),2.36,1640,-0.79,0
Friday the 13th Part V: A New Beginning (1985),2.07,1408,-0.83,0
Friday the 13th Part VI: Jason Lives (1986),2.27,1547,-0.8,0
Friday the 13th Part VII: The New Blood (1988),2.08,1306,-0.83,0
Friday the 13th Part VIII: Jason Takes Manhattan (1989),1.85,1495,-0.88,0
Halloween (1978),3.57,9930,-0.2,0
Halloween II (1981),2.88,2280,-0.61,0
Halloween III: Season of the Witch (1982),2.09,1415,-0.83,0
Halloween 4: The Return of Michael Myers (1988),2.45,1285,-0.77,0
Halloween 5: The Revenge of Michael Myers (1989),2.25,1176,-0.8,0
Prom Night (1980),2.5,750,-0.75,0
Prom Night II (1987),2.13,354,-0.78,0
Prom Night III: The Last Kiss (1989),1.58,196,-0.82,0
Prom Night IV: Deliver Us From Evil (1992),1.47,170,-0.83,0
Child's Play (1988),2.87,3464,-0.62,0
Child's Play 2 (1990),2.37,1562,-0.79,0
Child's Play 3 (1991),2.11,1249,-0.83,0
Poltergeist (1982),3.5,12413,-0.28,0
Poltergeist II: The Other Side (1986),2.51,1730,-0.72,0
Poltergeist III (1988),2.06,1265,-0.83,0
"Exorcist, The (1973)",3.75,19186,-0.12,0
Exorcist II: The Heretic (1977),1.93,1235,-0.87,0
"Exorcist III, The (1990)",2.72,1399,-0.66,0
Lethal Weapon (1987),3.69,22876,-0.15,0
Lethal Weapon 2 (1989),3.33,16852,-0.36,0
Lethal Weapon 3 (1992),3.22,11773,-0.42,0
Gremlins (1984),3.3,15237,-0.38,0
Gremlins 2: The New Batch (1990),2.79,5967,-0.66,0
"Goonies, The (1985)",3.65,15611,-0.17,0
"Mask of Zorro, The (1998)",3.28,17962,-0.39,0
Polish Wedding (1998),2.8,445,-0.59,0
"This World, Then the Fireworks (1997)",2.58,107,-0.6,0
Soylent Green (1973),3.49,5139,-0.27,0
Metropolis (1927),3.97,7702,-0.07,0
Back to the Future Part II (1989),3.58,29684,-0.2,0
Back to the Future Part III (1990),3.36,28062,-0.35,0
"Poseidon Adventure, The (1972)",3.31,6113,-0.36,0
Freaky Friday (1977),3.07,2268,-0.47,0
"Absent-Minded Professor, The (1961)",3.36,2733,-0.32,0
"Apple Dumpling Gang Rides Again, The (1979)",2.63,927,-0.68,0
Babes in Toyland (1961),2.96,1088,-0.56,0
Bambi (1942),3.48,10215,-0.29,0
Seven Samurai (Shichinin no samurai) (1954),4.25,17120,-0.02,0
Dangerous Liaisons (1988),3.85,8890,-0.09,0
Dune (1984),3.3,11669,-0.37,0
"Last Temptation of Christ, The (1988)",3.63,3311,-0.15,0
"Godfather: Part III, The (1990)",3.45,14446,-0.3,0
"Rapture, The (1991)",3.27,881,-0.33,0
Lolita (1997),3.5,3120,-0.2,0
Disturbing Behavior (1998),2.66,1407,-0.68,0
Jane Austen's Mafia! (1998),2.5,1205,-0.71,0
Saving Private Ryan (1998),4.06,64235,-0.04,0
Billy's Hollywood Screen Kiss (1997),3.46,539,-0.23,0
East Palace West Palace (Dong gong xi gong) (1997),2.8,50,-0.47,0
"Million Dollar Duck, The (a.k.a. $1,000,000 Duck) (1971)",2.6,286,-0.64,0
"Barefoot Executive, The (1971)",2.86,254,-0.54,0
"Black Cauldron, The (1985)",3.2,1938,-0.4,0
"Black Hole, The (1979)",2.84,2430,-0.62,0
Blackbeard's Ghost (1968),3.15,365,-0.37,0
Blank Check (1994),2.38,1322,-0.78,0
Candleshoe (1977),3.33,484,-0.29,0
"Cat from Outer Space, The (1978)",2.91,1319,-0.58,0
Cheetah (1989),2.68,73,-0.54,0
"Computer Wore Tennis Shoes, The (1969)",2.88,884,-0.58,0
Condorman (1981),2.68,910,-0.66,0
D2: The Mighty Ducks (1994),2.71,3099,-0.68,0
Darby O'Gill and the Little People (1959),3.28,1217,-0.34,0
"Devil and Max Devlin, The (1981)",2.49,306,-0.71,0
"Far Off Place, A (1993)",3.37,442,-0.26,0
Flight of the Navigator (1986),3.42,6324,-0.3,0
"Gnome-Mobile, The (1967)",2.97,178,-0.48,0
"Great Mouse Detective, The (1986)",3.5,2409,-0.26,0
"Happiest Millionaire, The (1967)",3.3,222,-0.27,0
Herbie Goes Bananas (1980),2.52,1123,-0.71,0
Herbie Goes to Monte Carlo (1977),2.6,1010,-0.69,0
Hocus Pocus (1993),3.13,3832,-0.45,0
"Honey, I Blew Up the Kid (1992)",2.16,5581,-0.85,0
"Honey, I Shrunk the Kids (1989)",2.72,20040,-0.71,0
Hot Lead and Cold Feet (1978),2.75,231,-0.57,0
In Search of the Castaways (1962),3.38,207,-0.22,0
"Incredible Journey, The (1963)",3.36,838,-0.29,0
"Negotiator, The (1998)",3.59,11328,-0.19,0
"Parent Trap, The (1998)",3.3,5322,-0.36,0
BASEketball (1998),3.05,3383,-0.49,0
Full Tilt Boogie (1997),3.05,159,-0.38,0
"Governess, The (1998)",3.12,468,-0.4,0
"Seventh Heaven (Septième ciel, Le) (1997)",2.86,88,-0.48,0
Roger & Me (1989),3.85,8296,-0.09,0
"Purple Rose of Cairo, The (1985)",3.69,4644,-0.14,0
Out of the Past (1947),4.04,1522,0.0,1
Doctor Zhivago (1965),3.92,7101,-0.07,0
Fanny and Alexander (Fanny och Alexander) (1982),3.98,2459,-0.05,0
"Trip to Bountiful, The (1985)",3.81,1184,-0.06,0
Tender Mercies (1983),3.94,1883,-0.05,0
And the Band Played On (1993),3.79,1495,-0.07,0
"'burbs, The (1989)",3.14,4201,-0.45,0
Fandango (1985),3.47,659,-0.23,0
"Night Porter, The (Portiere di notte, Il) (1974)",3.48,402,-0.21,0
Mephisto (1981),3.75,657,-0.07,0
Blue Velvet (1986),3.85,13086,-0.09,0
"Journey of Natty Gann, The (1985)",3.48,1126,-0.24,0
"Jungle Book, The (1967)",3.64,12984,-0.17,0
Kidnapped (1960),3.27,153,-0.26,0
Lady and the Tramp (1955),3.56,13691,-0.2,0
"Little Mermaid, The (1989)",3.53,19003,-0.22,0
"Mighty Ducks, The (1992)",2.92,5834,-0.61,0
"Muppet Christmas Carol, The (1992)",3.61,4607,-0.17,0
Newsies (1992),3.2,1210,-0.39,0
101 Dalmatians (One Hundred and One Dalmatians) (1961),3.43,10747,-0.31,0
One Magic Christmas (1985),3.08,231,-0.39,0
Peter Pan (1953),3.54,9993,-0.2,0
Popeye (1980),2.57,3982,-0.73,0
"Rescuers Down Under, The (1990)",3.31,3141,-0.35,0
"Rescuers, The (1977)",3.45,3872,-0.28,0
Return from Witch Mountain (1978),2.89,1292,-0.59,0
Return to Oz (1985),2.97,2249,-0.58,0
"Rocketeer, The (1991)",3.06,8324,-0.5,0
"Shaggy D.A., The (1976)",2.8,849,-0.61,0
Sleeping Beauty (1959),3.55,9004,-0.2,0
Something Wicked This Way Comes (1983),3.39,1524,-0.29,0
Son of Flubber (1963),2.82,508,-0.59,0
Song of the South (1946),3.54,1603,-0.17,0
Splash (1984),3.19,14204,-0.44,0
Squanto: A Warrior's Tale (1994),3.1,166,-0.37,0
Steamboat Willie (1928),3.45,1576,-0.26,0
Tall Tale (1995),3.0,263,-0.42,0
Tex (1982),3.27,320,-0.3,0
Tron (1982),3.32,13172,-0.36,0
Swing Kids (1993),3.35,1712,-0.31,0
Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998),2.57,2828,-0.72,0
L.A. Story (1991),3.59,7861,-0.18,0
"Jerk, The (1979)",3.61,8988,-0.18,0
Dead Men Don't Wear Plaid (1982),3.27,2776,-0.36,0
"Man with Two Brains, The (1983)",3.22,2511,-0.4,0
Grand Canyon (1991),3.4,2831,-0.3,0
Graveyard Shift (Stephen King's Graveyard Shift) (1990),2.19,600,-0.79,0
"Outsiders, The (1983)",3.59,4293,-0.17,0
Indiana Jones and the Temple of Doom (1984),3.7,30436,-0.15,0
"Lord of the Rings, The (1978)",3.26,6376,-0.38,0
1984 (Nineteen Eighty-Four) (1984),3.64,4196,-0.15,0
"Dead Zone, The (1983)",3.63,4407,-0.16,0
Maximum Overdrive (1986),2.39,1539,-0.78,0
Needful Things (1993),2.94,1805,-0.58,0
Cujo (1983),2.77,2357,-0.65,0
Children of the Corn (1984),2.68,3168,-0.69,0
All Dogs Go to Heaven (1989),3.07,3293,-0.48,0
"Addams Family, The (1991)",3.24,11107,-0.42,0
Ever After: A Cinderella Story (1998),3.63,7458,-0.17,0
Snake Eyes (1998),2.82,5729,-0.65,0
"First Love, Last Rites (1997)",2.59,45,-0.53,0
Safe Men (1998),3.27,266,-0.29,0
"Saltmen of Tibet, The (Salzmänner von Tibet, Die) (1997)",3.48,81,-0.13,0
Atlantic City (1980),3.8,2234,-0.08,0
Autumn Sonata (Höstsonaten) (1978),4.0,831,-0.02,0
Who's Afraid of Virginia Woolf? (1966),4.03,3862,-0.02,0
Adventures in Babysitting (1987),3.24,5419,-0.41,0
Weird Science (1985),3.29,7633,-0.37,0
Doctor Dolittle (1967),3.0,2488,-0.49,0
"Nutty Professor, The (1963)",2.82,3506,-0.64,0
Charlotte's Web (1973),3.51,6943,-0.21,0
Watership Down (1978),3.69,3294,-0.13,0
"Secret of NIMH, The (1982)",3.71,5816,-0.13,0
"Dark Crystal, The (1982)",3.57,10207,-0.19,0
"American Tail, An (1986)",3.38,5862,-0.32,0
"American Tail: Fievel Goes West, An (1991)",3.06,2685,-0.48,0
Legend (1985),3.29,3836,-0.36,0
Sixteen Candles (1984),3.61,11612,-0.18,0
Pretty in Pink (1986),3.37,9430,-0.34,0
St. Elmo's Fire (1985),3.17,3772,-0.43,0
"Clan of the Cave Bear, The (1986)",2.61,1416,-0.7,0
House (1986),2.99,1359,-0.56,0
House II: The Second Story (1987),2.33,745,-0.77,0
"Gods Must Be Crazy, The (1980)",3.64,10577,-0.17,0
"Gods Must Be Crazy II, The (1989)",3.21,1926,-0.4,0
Air Bud: Golden Receiver (1998),2.05,896,-0.82,0
"Avengers, The (1998)",2.1,3177,-0.85,0
How Stella Got Her Groove Back (1998),2.7,1207,-0.67,0
"Slums of Beverly Hills, The (1998)",3.4,2045,-0.29,0
"Best Man, The (Testimone dello sposo, Il) (1998)",3.18,73,-0.27,0
"Chambermaid on the Titanic, The (Femme de chambre du Titanic, La) (1998)",3.29,138,-0.24,0
"Henry: Portrait of a Serial Killer, Part 2 (1998)",2.87,228,-0.53,0
Henry: Portrait of a Serial Killer (1986),3.39,1975,-0.3,0
Rosemary's Baby (1968),3.78,11699,-0.11,0
"NeverEnding Story, The (1984)",3.52,13617,-0.22,0
"NeverEnding Story II: The Next Chapter, The (1990)",2.49,2494,-0.78,0
Attack of the Killer Tomatoes! (1978),2.5,2017,-0.72,0
Surf Nazis Must Die (1987),2.14,253,-0.76,0
Your Friends and Neighbors (1998),3.2,1058,-0.39,0
Return to Paradise (1998),3.5,1106,-0.17,0
Blade (1998),3.37,16634,-0.34,0
Dance with Me (1998),3.04,583,-0.44,0
Dead Man on Campus (1998),2.73,1249,-0.66,0
Wrongfully Accused (1998),2.78,1122,-0.63,0
Next Stop Wonderland (1998),3.64,1270,-0.13,0
"Strike! (a.k.a. All I Wanna Do, The Hairy Bird) (1998)",3.37,148,-0.21,0
"Navigator: A Mediaeval Odyssey, The (1988)",3.52,839,-0.16,0
Beetlejuice (1988),3.5,26226,-0.23,0
Déjà Vu (1997),3.43,130,-0.17,0
Rope (1948),3.91,4530,-0.07,0
Family Plot (1976),3.22,741,-0.37,0
Frenzy (1972),3.59,1386,-0.15,0
Topaz (1969),3.06,460,-0.43,0
Torn Curtain (1966),3.32,716,-0.3,0
Marnie (1964),3.51,1440,-0.18,0
"Wrong Man, The (1956)",3.64,977,-0.12,0
"Man Who Knew Too Much, The (1956)",3.84,2999,-0.07,0
"Trouble with Harry, The (1955)",3.61,1706,-0.15,0
I Confess (1953),3.51,418,-0.14,0
Strangers on a Train (1951),4.1,6900,-0.02,0
Stage Fright (1950),3.5,343,-0.16,0
54 (1998),2.8,2466,-0.64,0
I Married A Strange Person! (1997),3.45,211,-0.19,0
Why Do Fools Fall In Love? (1998),2.89,357,-0.54,0
"Merry War, A (1997)",3.0,110,-0.37,0
See the Sea (1997),3.13,79,-0.3,0
Willow (1988),3.46,11548,-0.29,0
"Untouchables, The (1987)",3.87,19958,-0.09,0
Dirty Work (1998),3.08,1381,-0.45,0
Knock Off (1998),2.22,382,-0.77,0
Firelight (1997),3.48,175,-0.17,0
Modulations (1998),3.46,75,-0.13,0
Phoenix (1998),3.09,97,-0.34,0
Under Capricorn (1949),2.73,130,-0.56,0
"Paradine Case, The (1947)",3.23,290,-0.33,0
Lifeboat (1944),3.84,1792,-0.06,0
Shadow of a Doubt (1943),4.09,2869,-0.01,0
Saboteur (1942),3.68,920,-0.1,0
Mr. & Mrs. Smith (1941),3.33,778,-0.3,0
Suspicion (1941),3.87,1759,-0.06,0
Jamaica Inn (1939),2.95,226,-0.5,0
"Lady Vanishes, The (1938)",4.04,2828,-0.01,0
Young and Innocent (1937),3.33,219,-0.25,0
Sabotage (1936),3.66,670,-0.1,0
Secret Agent (1936),3.37,290,-0.24,0
"Man Who Knew Too Much, The (1934)",3.73,1494,-0.1,0
Waltzes from Vienna (1933),2.13,30,-0.62,0
Number Seventeen (a.k.a. Number 17) (1932),2.92,90,-0.46,0
Rich and Strange (1931),2.82,104,-0.51,0
"Skin Game, The (1931)",2.8,66,-0.49,0
Juno and the Paycock (1930),2.31,57,-0.65,0
Murder! (1930),3.14,157,-0.34,0
"Manxman, The (1929)",2.71,49,-0.5,0
Blackmail (1929),3.45,261,-0.2,0
Champagne (1928),2.27,33,-0.6,0
"Farmer's Wife, The (1928)",2.81,54,-0.47,0
Downhill (1927),2.28,38,-0.62,0
Easy Virtue (1928),2.54,49,-0.55,0
"Ring, The (1927)",3.05,105,-0.36,0
"Lodger: A Story of the London Fog, The (1927)",3.53,330,-0.12,0
Rounders (1998),3.72,8535,-0.13,0
Cube (1997),3.59,9447,-0.19,0
Digging to China (1998),2.89,69,-0.45,0
Let's Talk About Sex (1998),2.74,76,-0.53,0
One Man's Hero (1999),2.66,46,-0.52,0
Simon Birch (1998),3.44,2114,-0.27,0
Without Limits (1998),3.65,457,-0.09,0
Seven Beauties (Pasqualino Settebellezze) (1976),3.85,639,-0.03,0
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),3.67,743,-0.1,0
My Bodyguard (1980),3.41,1710,-0.28,0
Class (1983),2.75,759,-0.62,0
"Grandview, U.S.A. (1984)",2.51,74,-0.58,0
Broadcast News (1987),3.68,6589,-0.14,0
"Allnighter, The (1987)",2.07,104,-0.72,0
Working Girl (1988),3.35,5513,-0.33,0
Stars and Bars (1988),2.59,70,-0.57,0
Married to the Mob (1988),3.09,2297,-0.46,0
Say Anything... (1989),3.82,11040,-0.1,0
My Blue Heaven (1990),3.13,1958,-0.44,0
Men Don't Leave (1990),3.21,418,-0.35,0
Hero (1992),3.06,1796,-0.47,0
Toys (1992),2.74,4480,-0.68,0
Young Doctors in Love (1982),2.62,513,-0.66,0
Parasite (1982),2.18,159,-0.73,0
No Small Affair (1984),2.8,142,-0.53,0
"Master, The (1984)",2.06,52,-0.68,0
Blame It on Rio (1984),2.65,1523,-0.69,0
Wisdom (1986),2.5,282,-0.66,0
One Crazy Summer (1986),3.31,1241,-0.33,0
About Last Night... (1986),3.09,2447,-0.46,0
"Seventh Sign, The (1988)",3.13,1558,-0.43,0
We're No Angels (1989),2.72,723,-0.64,0
Nothing But Trouble (1991),2.13,818,-0.81,0
"Butcher's Wife, The (1991)",2.85,1345,-0.6,0
Mortal Thoughts (1991),3.03,599,-0.45,0
"Few Good Men, A (1992)",3.83,20736,-0.1,0
Indecent Proposal (1993),2.86,3933,-0.63,0
"Century of Cinema, A (1994)",3.24,35,-0.19,0
Permanent Midnight (1998),3.2,586,-0.37,0
One True Thing (1998),3.48,1006,-0.24,0
Rush Hour (1998),3.47,15459,-0.29,0
Six-String Samurai (1998),3.39,830,-0.27,0
"Soldier's Daughter Never Cries, A (1998)",3.49,396,-0.2,0
Ronin (1998),3.58,12999,-0.19,0
Urban Legend (1998),2.69,3217,-0.69,0
Clay Pigeons (1998),3.32,969,-0.31,0
Monument Ave. (1998),3.13,111,-0.32,0
Pecker (1998),3.39,2456,-0.3,0
"Sheltering Sky, The (1990)",3.24,568,-0.35,0
Bandit Queen (1994),3.7,397,-0.06,0
If.... (1968),3.74,850,-0.08,0
"Fiendish Plot of Dr. Fu Manchu, The (1980)",2.51,263,-0.65,0
Them! (1954),3.48,1720,-0.26,0
"Thing, The (1982)",3.92,15498,-0.08,0
"Player, The (1992)",3.92,8804,-0.08,0
Stardust Memories (1980),3.51,1216,-0.17,0
Edward Scissorhands (1990),3.72,29898,-0.15,0
Overnight Delivery (1998),2.9,225,-0.52,0
Shadrach (1998),3.31,90,-0.21,0
Antz (1998),3.21,14058,-0.43,0
"Impostors, The (1998)",3.43,567,-0.24,0
"Night at the Roxbury, A (1998)",2.7,2887,-0.68,0
What Dreams May Come (1998),3.33,5499,-0.34,0
Strangeland (1998),2.29,196,-0.72,0
"Battle of the Sexes, The (1959)",3.12,53,-0.28,0
"Producers, The (1968)",3.84,8007,-0.09,0
History of the World: Part I (1981),3.61,5504,-0.17,0
My Cousin Vinny (1992),3.6,18263,-0.19,0
Nashville (1975),3.89,2653,-0.06,0
Love Is the Devil (1998),3.41,132,-0.18,0
Slam (1998),3.62,229,-0.07,0
Holy Man (1998),2.5,1102,-0.71,0
One Tough Cop (1998),2.6,215,-0.63,0
Detroit 9000 (1973),2.81,52,-0.47,0
"Inheritors, The (Siebtelbauern, Die) (1998)",3.29,47,-0.17,0
"Mighty, The (1998)",3.6,1053,-0.14,0
2010: The Year We Make Contact (1984),3.39,4906,-0.31,0
Children of a Lesser God (1986),3.72,2965,-0.12,0
"Elephant Man, The (1980)",3.9,8636,-0.08,0
Beloved (1998),2.9,734,-0.57,0
Bride of Chucky (Child's Play 4) (1998),2.21,2359,-0.83,0
Practical Magic (1998),3.12,3669,-0.46,0
"Alarmist, The (a.k.a. Life During Wartime) (1997)",2.47,74,-0.64,0
Happiness (1998),3.82,5495,-0.09,0
Apt Pupil (1998),3.1,2051,-0.45,0
Pleasantville (1998),3.56,16704,-0.2,0
Soldier (1998),2.9,2691,-0.6,0
"Cruise, The (1998)",3.67,277,-0.06,0
Life Is Beautiful (La Vita è bella) (1997),4.16,32435,-0.03,0
Orgazmo (1997),3.06,2099,-0.47,0
Shattered Image (1998),2.76,51,-0.48,0
Tales from the Darkside: The Movie (1990),2.89,828,-0.57,0
Vampires (1998),2.8,2026,-0.63,0
American History X (1998),4.13,41055,-0.04,0
Hands on a Hard Body (1996),4.06,895,0.02,1
Living Out Loud (1998),3.35,1294,-0.3,0
Belly (1998),2.96,246,-0.5,0
Gods and Monsters (1998),3.8,4878,-0.09,0
"Siege, The (1998)",3.12,3622,-0.46,0
"Waterboy, The (1998)",2.94,8543,-0.61,0
Elizabeth (1998),3.84,10775,-0.09,0
Velvet Goldmine (1998),3.37,1645,-0.3,0
I Still Know What You Did Last Summer (1998),2.14,5447,-0.86,0
I'll Be Home For Christmas (1998),2.56,429,-0.67,0
Meet Joe Black (1998),3.36,7715,-0.34,0
Dancing at Lughnasa (1998),3.22,321,-0.33,0
Hard Core Logo (1996),3.59,280,-0.09,0
Runaway Train (1985),3.5,1890,-0.19,0
Desert Bloom (1986),3.51,266,-0.12,0
"Stepford Wives, The (1975)",3.28,2572,-0.36,0
"Pope of Greenwich Village, The (1984)",3.43,710,-0.25,0
Sid and Nancy (1986),3.55,2679,-0.18,0
Mona Lisa (1986),3.72,1601,-0.1,0
Heart Condition (1990),2.68,157,-0.59,0
"Nights of Cabiria (Notti di Cabiria, Le) (1957)",4.1,1669,0.0,1
"Big Chill, The (1983)",3.71,7746,-0.14,0
Enemy of the State (1998),3.57,20293,-0.2,0
"Rugrats Movie, The (1998)",2.7,1679,-0.67,0
"Bug's Life, A (1998)",3.56,28290,-0.21,0
Celebrity (1998),2.97,1322,-0.56,0
Central Station (Central do Brasil) (1998),4.08,2760,-0.01,0
Savior (1998),3.53,162,-0.09,0
Waking Ned Devine (a.k.a. Waking Ned) (1998),3.78,7867,-0.11,0
"Celebration, The (Festen) (1998)",4.08,3123,-0.01,0
Pink Flamingos (1972),3.29,1514,-0.34,0
Glen or Glenda (1953),2.71,436,-0.63,0
Godzilla (Gojira) (1954),3.21,2981,-0.41,0
"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The) (1984)",2.68,826,-0.66,0
King Kong vs. Godzilla (Kingukongu tai Gojira) (1962),2.75,961,-0.65,0
King Kong (1933),3.48,8592,-0.29,0
King Kong (1976),2.81,3496,-0.64,0
King Kong Lives (1986),1.79,465,-0.85,0
Desperately Seeking Susan (1985),2.93,6064,-0.61,0
"Emerald Forest, The (1985)",3.4,1037,-0.27,0
Fletch (1985),3.43,7940,-0.3,0
Fletch Lives (1989),2.89,2133,-0.6,0
Red Sonja (1985),2.48,1966,-0.78,0
Gung Ho (1986),2.89,1712,-0.59,0
"Money Pit, The (1986)",2.91,4495,-0.61,0
"View to a Kill, A (1985)",3.18,4526,-0.43,0
Lifeforce (1985),2.92,1311,-0.58,0
Police Academy (1984),3.0,7719,-0.51,0
Police Academy 2: Their First Assignment (1985),2.49,4264,-0.79,0
Police Academy 3: Back in Training (1986),2.3,3494,-0.82,0
Police Academy 4: Citizens on Patrol (1987),2.17,3291,-0.84,0
Police Academy 5: Assignment: Miami Beach (1988),2.03,2827,-0.85,0
Police Academy 6: City Under Siege (1989),1.9,2568,-0.89,0
Babe: Pig in the City (1998),2.91,6635,-0.61,0
Home Fries (1998),2.54,1098,-0.7,0
Jerry Springer: Ringmaster (1998),1.63,667,-0.87,0
Very Bad Things (1998),2.86,2677,-0.62,0
Steam: The Turkish Bath (Hamam) (1997),3.41,194,-0.2,0
Psycho (1998),2.81,3704,-0.65,0
Little Voice (1998),3.66,2729,-0.14,0
"Simple Plan, A (1998)",3.7,7693,-0.14,0
